transaction_id,customer_id,product_code,transaction_date,transaction_time,quantity,unit_price,amount,discount_amount,store_code,channel,status,payment_method,point_used
TX20240102008,MB00010020,P0008,2024-02-18,10:25:00,2,168,336,0,ST004,店舗,completed,現金,0
TX20240102009,MB00010008,P0015,2024-02-20,13:45:00,1,980,980,0,ST005,店舗,completed,クレジットカード,0
TX20240102010,MB00010011,P0003,2024-02-22,09:10:00,4,298,1192,100,ST001,店舗,completed,現金,0
TX20240103001,MB00010001,P0007,2024-03-01,10:00:00,2,498,996,0,ST001,店舗,completed,クレジットカード,0
TX20240103002,MB00010004,P0001,2024-03-03,11:30:00,1,780,780,0,ST003,店舗,completed,電子マネー,0
TX20240103003,MB00010002,P0015,2024-03-05,15:15:00,1,980,980,100,ST002,店舗,completed,クレジットカード,0
TX20240103004,MB00010013,P0006,2024-03-08,08:40:00,5,128,640,0,ST004,店舗,completed,現金,0
TX20240103005,MB00010015,P0002,2024-03-10,12:20:00,2,480,960,0,ST005,店舗,completed,クレジットカード,0
TX20240103006,MB00010007,P0011,2024-03-12,14:50:00,1,398,398,0,ST001,店舗,completed,現金,0
TX20240103007,MB00010018,P0013,2024-03-15,16:30:00,1,1480,1480,0,ST002,EC,completed,クレジットカード,150
TX20240103008,MB00010010,P0004,2024-03-18,09:20:00,2,248,496,0,ST003,店舗,cancelled,電子マネー,0
TX20240103009,MB00010017,P0005,2024-03-20,10:45:00,4,98,392,0,ST001,店舗,completed,現金,0
TX20240103010,MB00010019,P0009,2024-03-22,11:55:00,1,348,348,0,ST004,店舗,completed,クレジットカード,0
TX20240104001,MB00010002,P0001,2024-04-02,10:10:00,2,780,1560,0,ST002,店舗,completed,電子マネー,0
TX20240104002,MB00010009,P0010,2024-04-05,13:25:00,1,498,498,0,ST001,EC,completed,クレジットカード,0
TX20240104003,MB00010001,P0003,2024-04-08,09:30:00,3,298,894,0,ST001,店舗,completed,クレジットカード,0
TX20240104004,MB00010012,P0014,2024-04-10,15:40:00,1,2980,2980,500,ST003,店舗,completed,クレジットカード,400
TX20240104005,MB00010014,P0006,2024-04-12,08:15:00,2,128,256,0,ST005,店舗,completed,現金,0
TX20240104006,MB00010008,P0002,2024-04-15,12:00:00,1,480,480,0,ST005,店舗,completed,電子マネー,0
TX20240104007,MB00010004,P0007,2024-04-18,14:30:00,1,498,498,0,ST003,EC,completed,クレジットカード,0
TX20240104008,MB00010006,P0012,2024-04-20,16:10:00,2,298,596,0,ST002,店舗,completed,現金,0
TX20240104009,MB00010017,P0001,2024-04-22,10:50:00,1,780,780,0,ST001,店舗,returned,クレジットカード,0
TX20240104010,MB00010020,P0015,2024-04-25,11:35:00,1,980,980,0,ST004,店舗,completed,電子マネー,0
TX20240105001,MB00010001,P0005,2024-05-01,09:00:00,6,98,588,0,ST001,店舗,completed,クレジットカード,0
TX20240105002,MB00010003,P0013,2024-05-03,14:20:00,1,1480,1480,150,ST001,店舗,completed,クレジットカード,0
TX20240105003,MB00010009,P0004,2024-05-06,08:30:00,3,248,744,0,ST001,EC,completed,電子マネー,0
TX20240105004,MB00010015,P0009,2024-05-08,11:15:00,2,348,696,0,ST005,店舗,completed,現金,0
TX20240105005,MB00010002,P0002,2024-05-10,13:45:00,1,480,480,0,ST002,店舗,completed,電子マネー,0
TX20240105006,MB00010011,P0008,2024-05-12,10:30:00,3,168,504,0,ST001,店舗,completed,現金,0
TX20240105007,MB00010018,P0015,2024-05-15,15:50:00,1,980,980,0,ST002,EC,completed,クレジットカード,0
TX20240105008,MB00010007,P0003,2024-05-18,09:40:00,2,298,596,0,ST001,店舗,completed,現金,0
TX20240105009,MB00010013,P0010,2024-05-20,12:10:00,1,498,498,0,ST004,店舗,completed,クレジットカード,0
TX20240105010,MB00010004,P0006,2024-05-22,16:00:00,4,128,512,0,ST003,店舗,completed,電子マネー,0
TX20240106001,MB00010002,P0007,2024-06-01,10:20:00,2,498,996,0,ST002,店舗,completed,クレジットカード,0
TX20240106002,MB00010014,P0001,2024-06-03,11:45:00,1,780,780,0,ST005,店舗,completed,電子マネー,0
TX20240106003,MB00010009,P0013,2024-06-05,14:30:00,1,1480,1480,0,ST001,EC,completed,クレジットカード,300
TX20240106004,MB00010012,P0005,2024-06-08,09:00:00,4,98,392,0,ST003,店舗,completed,現金,0
TX20240106005,MB00010008,P0004,2024-06-10,08:20:00,2,248,496,0,ST005,店舗,completed,電子マネー,0
TX20240106006,MB00010001,P0011,2024-06-12,13:15:00,1,398,398,0,ST001,店舗,completed,クレジットカード,0
TX20240106007,MB00010016,P0002,2024-06-15,12:30:00,2,480,960,0,ST003,店舗,cancelled,現金,0
TX20240106008,MB00010006,P0014,2024-06-18,15:00:00,1,2980,2980,0,ST002,店舗,completed,クレジットカード,0
TX20240106009,MB00010005,P0008,2024-06-20,10:40:00,2,168,336,0,ST004,店舗,completed,現金,0
TX20240106010,MB00010019,P0003,2024-06-22,11:20:00,3,298,894,0,ST004,店舗,completed,クレジットカード,0
TX20240107001,MB00010009,P0002,2024-07-01,10:00:00,2,480,960,0,ST001,EC,completed,クレジットカード,0
TX20240107002,MB00010001,P0014,2024-07-03,14:15:00,1,2980,2980,300,ST001,店舗,completed,クレジットカード,500
TX20240107003,MB00010003,P0011,2024-07-05,09:30:00,2,398,796,0,ST001,店舗,completed,現金,0
TX20240107004,MB00010012,P0006,2024-07-08,08:45:00,3,128,384,0,ST003,店舗,completed,電子マネー,0
TX20240107005,MB00010018,P0001,2024-07-10,11:50:00,1,780,780,0,ST002,EC,completed,クレジットカード,0
TX20240107006,MB00010014,P0009,2024-07-12,12:20:00,1,348,348,0,ST005,店舗,completed,現金,0
TX20240107007,MB00010017,P0007,2024-07-15,15:30:00,1,498,498,0,ST001,店舗,completed,クレジットカード,0
TX20240107008,MB00010020,P0003,2024-07-18,09:55:00,2,298,596,0,ST004,店舗,completed,電子マネー,0
TX20240107009,MB00010007,P0005,2024-07-20,10:30:00,5,98,490,0,ST001,店舗,completed,現金,0
TX20240107010,MB00010004,P0015,2024-07-22,13:40:00,1,980,980,0,ST003,店舗,completed,クレジットカード,0
TX20240108001,MB00010002,P0004,2024-08-01,08:30:00,2,248,496,0,ST002,店舗,completed,電子マネー,0
TX20240108002,MB00010009,P0012,2024-08-03,11:10:00,3,298,894,0,ST001,EC,completed,クレジットカード,0
TX20240108003,MB00010008,P0001,2024-08-05,10:20:00,1,780,780,0,ST005,店舗,completed,電子マネー,0
TX20240108004,MB00010015,P0013,2024-08-08,14:45:00,1,1480,1480,0,ST005,店舗,completed,クレジットカード,200
TX20240108005,MB00010011,P0006,2024-08-10,09:15:00,2,128,256,0,ST001,店舗,completed,現金,0
TX20240108006,MB00010001,P0002,2024-08-12,12:30:00,2,480,960,0,ST001,店舗,completed,クレジットカード,0
TX20240108007,MB00010018,P0010,2024-08-15,16:00:00,1,498,498,0,ST002,EC,completed,クレジットカード,0
TX20240108008,MB00010006,P0003,2024-08-18,11:40:00,4,298,1192,0,ST002,店舗,completed,現金,0
TX20240108009,MB00010013,P0005,2024-08-20,10:00:00,6,98,588,0,ST004,店舗,completed,電子マネー,0
TX20240108010,MB00010010,P0009,2024-08-22,13:20:00,1,348,348,0,ST003,店舗,completed,クレジットカード,0
TX20240109001,MB00010002,P0011,2024-09-01,09:50:00,1,398,398,0,ST002,店舗,completed,電子マネー,0
TX20240109002,MB00010009,P0015,2024-09-03,14:00:00,2,980,1960,200,ST001,EC,completed,クレジットカード,0
TX20240109003,MB00010004,P0004,2024-09-05,08:20:00,3,248,744,0,ST003,店舗,completed,電子マネー,0
TX20240109004,MB00010012,P0001,2024-09-08,11:30:00,1,780,780,0,ST003,店舗,completed,現金,0
TX20240109005,MB00010014,P0008,2024-09-10,10:15:00,2,168,336,0,ST005,店舗,completed,クレジットカード,0
TX20240109006,MB00010001,P0006,2024-09-12,15:45:00,3,128,384,0,ST001,店舗,completed,クレジットカード,0
TX20240109007,MB00010003,P0014,2024-09-15,13:00:00,1,2980,2980,0,ST001,店舗,completed,現金,0
TX20240109008,MB00010005,P0002,2024-09-18,12:30:00,2,480,960,0,ST004,店舗,returned,クレジットカード,0
TX20240109009,MB00010019,P0007,2024-09-20,16:10:00,1,498,498,0,ST004,店舗,completed,電子マネー,0
TX20240109010,MB00010017,P0010,2024-09-22,10:40:00,1,498,498,0,ST001,店舗,completed,現金,0
TX20240110001,MB00010009,P0003,2024-10-01,09:10:00,3,298,894,0,ST001,EC,completed,クレジットカード,0
TX20240110002,MB00010002,P0009,2024-10-03,11:50:00,1,348,348,0,ST002,店舗,completed,電子マネー,0
TX20240110003,MB00010008,P0013,2024-10-05,14:30:00,1,1480,1480,0,ST005,店舗,completed,クレジットカード,0
TX20240110004,MB00010018,P0005,2024-10-08,08:00:00,4,98,392,0,ST002,EC,completed,電子マネー,0
TX20240110005,MB00010012,P0002,2024-10-10,12:15:00,1,480,480,0,ST003,店舗,completed,現金,0
TX20240110006,MB00010015,P0007,2024-10-12,10:30:00,2,498,996,0,ST005,店舗,completed,クレジットカード,0
TX20240110007,MB00010001,P0012,2024-10-15,13:45:00,2,298,596,0,ST001,店舗,completed,クレジットカード,0
TX20240110008,MB00010013,P0001,2024-10-18,11:00:00,1,780,780,0,ST004,店舗,cancelled,電子マネー,0
TX20240110009,MB00010007,P0008,2024-10-20,09:20:00,3,168,504,0,ST001,店舗,completed,現金,0
TX20240110010,MB00010020,P0004,2024-10-22,15:10:00,1,248,248,0,ST004,店舗,completed,クレジットカード,0
TX20240111001,MB00010002,P0015,2024-11-01,10:30:00,1,980,980,0,ST002,店舗,completed,電子マネー,0
TX20240111002,MB00010009,P0006,2024-11-03,14:20:00,5,128,640,0,ST001,EC,completed,クレジットカード,0
TX20240111003,MB00010001,P0013,2024-11-05,15:00:00,1,1480,1480,200,ST001,店舗,completed,クレジットカード,0
TX20240111004,MB00010014,P0002,2024-11-08,11:30:00,2,480,960,0,ST005,店舗,completed,現金,0
TX20240111005,MB00010004,P0011,2024-11-10,09:45:00,2,398,796,0,ST003,店舗,completed,電子マネー,0
TX20240111006,MB00010012,P0003,2024-11-12,12:00:00,3,298,894,0,ST003,店舗,completed,現金,0
TX20240111007,MB00010018,P0014,2024-11-15,16:30:00,1,2980,2980,0,ST002,EC,completed,クレジットカード,500
TX20240111008,MB00010006,P0005,2024-11-18,10:10:00,3,98,294,0,ST002,店舗,completed,電子マネー,0
TX20240111009,MB00010011,P0001,2024-11-20,13:15:00,1,780,780,0,ST001,店舗,completed,現金,0
TX20240111010,MB00010017,P0009,2024-11-22,11:40:00,1,348,348,0,ST001,店舗,completed,クレジットカード,0
TX20240112001,MB00010009,P0014,2024-12-01,10:00:00,1,2980,2980,0,ST001,EC,completed,クレジットカード,400
TX20240112002,MB00010002,P0001,2024-12-03,11:20:00,2,780,1560,0,ST002,店舗,completed,電子マネー,0
TX20240112003,MB00010001,P0004,2024-12-05,08:30:00,2,248,496,0,ST001,店舗,completed,クレジットカード,0
TX20240112004,MB00010015,P0010,2024-12-08,14:00:00,1,498,498,0,ST005,店舗,completed,クレジットカード,0
TX20240112005,MB00010003,P0008,2024-12-10,09:50:00,2,168,336,0,ST001,店舗,completed,現金,0
TX20240112006,MB00010008,P0012,2024-12-12,12:30:00,3,298,894,0,ST005,店舗,completed,電子マネー,0
TX20240112007,MB00010018,P0003,2024-12-15,15:45:00,2,298,596,0,ST002,EC,completed,クレジットカード,0
TX20240112008,MB00010014,P0007,2024-12-18,10:15:00,1,498,498,0,ST005,店舗,completed,現金,0
TX20240112009,MB00010012,P0015,2024-12-20,13:30:00,1,980,980,100,ST003,店舗,completed,クレジットカード,0
TX20240112010,MB00010020,P0006,2024-12-22,11:00:00,4,128,512,0,ST004,店舗,completed,電子マネー,0
TX20240112011,MB00010004,P0009,2024-12-24,16:20:00,2,348,696,0,ST003,店舗,completed,クレジットカード,0
TX20240112012,MB00010007,P0002,2024-12-26,10:30:00,1,480,480,0,ST001,店舗,completed,現金,0
TX20240112013,MB00010019,P0005,2024-12-28,09:00:00,5,98,490,0,ST004,店舗,completed,電子マネー,0
TX20240112014,MB00010013,P0011,2024-12-30,14:10:00,1,398,398,0,ST004,店舗,returned,クレジットカード,0
TX20250101001,MB00010002,P0013,2025-01-05,10:30:00,1,1480,1480,0,ST002,店舗,completed,クレジットカード,200
TX20250101002,MB00010009,P0001,2025-01-08,11:00:00,2,780,1560,0,ST001,EC,completed,クレジットカード,0
TX20250101003,MB00010001,P0009,2025-01-10,09:20:00,1,348,348,0,ST001,店舗,completed,クレジットカード,0
TX20250101004,MB00010014,P0003,2025-01-12,12:40:00,3,298,894,0,ST005,店舗,completed,電子マネー,0
TX20250101005,MB00010004,P0006,2025-01-15,08:15:00,2,128,256,0,ST003,店舗,completed,現金,0
TX20250101006,MB00010018,P0002,2025-01-18,14:50:00,1,480,480,0,ST002,EC,completed,クレジットカード,0
TX20250101007,MB00010012,P0007,2025-01-20,10:10:00,1,498,498,0,ST003,店舗,completed,現金,0
TX20250101008,MB00010008,P0011,2025-01-22,13:30:00,2,398,796,0,ST005,店舗,completed,クレジットカード,0
TX20250101009,MB00010020,P0014,2025-01-25,15:00:00,1,2980,2980,500,ST004,店舗,completed,クレジットカード,300
TX20250101010,MB00010005,P0005,2025-01-28,09:40:00,4,98,392,0,ST004,店舗,completed,電子マネー,0
TX20250102001,MB00010009,P0004,2025-02-01,08:45:00,2,248,496,0,ST001,EC,completed,クレジットカード,0
TX20250102002,MB00010001,P0015,2025-02-03,11:30:00,1,980,980,0,ST001,店舗,completed,クレジットカード,0
TX20250102003,MB00010002,P0002,2025-02-05,10:00:00,2,480,960,0,ST002,店舗,completed,電子マネー,0
TX20250102004,MB00010003,P0010,2025-02-08,13:20:00,1,498,498,0,ST001,店舗,completed,現金,0
TX20250102005,MB00010014,P0012,2025-02-10,12:00:00,2,298,596,0,ST005,店舗,completed,クレジットカード,0
TX20250102006,MB00010015,P0001,2025-02-12,10:45:00,1,780,780,0,ST005,店舗,completed,現金,0
TX20250102007,MB00010006,P0008,2025-02-15,14:30:00,3,168,504,0,ST002,店舗,completed,電子マネー,0
TX20250102008,MB00010018,P0006,2025-02-18,09:10:00,3,128,384,0,ST002,EC,completed,クレジットカード,0
TX20250102009,MB00010017,P0003,2025-02-20,11:50:00,2,298,596,0,ST001,店舗,completed,現金,0
TX20250102010,MB00010010,P0013,2025-02-22,15:20:00,1,1480,1480,0,ST003,店舗,completed,クレジットカード,100
TX20250103001,MB00010009,P0007,2025-03-01,10:00:00,1,498,498,0,ST001,EC,completed,クレジットカード,0
TX20250103002,MB00010002,P0005,2025-03-03,09:30:00,6,98,588,0,ST002,店舗,completed,電子マネー,0
TX20250103003,MB00010001,P0001,2025-03-05,12:15:00,1,780,780,0,ST001,店舗,completed,クレジットカード,0
TX20250103004,MB00010012,P0009,2025-03-08,11:00:00,2,348,696,0,ST003,店舗,completed,現金,0
TX20250103005,MB00010004,P0014,2025-03-10,14:40:00,1,2980,2980,300,ST003,店舗,completed,クレジットカード,500
TX20250103006,MB00010008,P0006,2025-03-12,08:30:00,4,128,512,0,ST005,店舗,completed,電子マネー,0
TX20250103007,MB00010015,P0003,2025-03-15,13:20:00,2,298,596,0,ST005,店舗,completed,クレジットカード,0
TX20250103008,MB00010019,P0012,2025-03-18,10:50:00,3,298,894,0,ST004,店舗,completed,現金,0
TX20250103009,MB00010013,P0002,2025-03-20,15:30:00,1,480,480,0,ST004,店舗,completed,電子マネー,0
TX20250103010,MB00010007,P0004,2025-03-22,09:00:00,2,248,496,0,ST001,店舗,completed,現金,0
TX20250104001,MB00010002,P0010,2025-04-01,10:20:00,1,498,498,0,ST002,店舗,completed,電子マネー,0
TX20250104002,MB00010009,P0011,2025-04-03,14:00:00,1,398,398,0,ST001,EC,completed,クレジットカード,0
TX20250104003,MB00010001,P0008,2025-04-05,11:45:00,2,168,336,0,ST001,店舗,completed,クレジットカード,0
TX20250104004,MB00010014,P0015,2025-04-08,13:00:00,2,980,1960,0,ST005,店舗,completed,現金,0
TX20250104005,MB00010018,P0001,2025-04-10,09:30:00,1,780,780,0,ST002,EC,completed,クレジットカード,0
TX20250104006,MB00010016,P0007,2025-04-12,12:10:00,1,498,498,0,ST003,店舗,completed,現金,0
TX20250104007,MB00010003,P0005,2025-04-15,10:00:00,5,98,490,0,ST001,店舗,completed,現金,0
TX20250104008,MB00010011,P0014,2025-04-18,15:30:00,1,2980,2980,0,ST001,店舗,completed,クレジットカード,0
TX20250104009,MB00010006,P0003,2025-04-20,11:20:00,3,298,894,0,ST002,店舗,completed,電子マネー,0
TX20250104010,MB00010020,P0002,2025-04-22,09:50:00,2,480,960,0,ST004,店舗,completed,クレジットカード,0
TX20250105001,MB00010009,P0013,2025-05-01,10:15:00,1,1480,1480,0,ST001,EC,completed,クレジットカード,200
TX20250105002,MB00010001,P0006,2025-05-03,08:40:00,3,128,384,0,ST001,店舗,completed,クレジットカード,0
TX20250105003,MB00010002,P0004,2025-05-05,09:20:00,1,248,248,0,ST002,店舗,completed,電子マネー,0
TX20250105004,MB00010012,P0011,2025-05-08,12:30:00,2,398,796,0,ST003,店舗,completed,現金,0
TX20250105005,MB00010004,P0002,2025-05-10,14:00:00,1,480,480,0,ST003,店舗,completed,電子マネー,0
TX20250105006,MB00010014,P0009,2025-05-12,10:45:00,1,348,348,0,ST005,店舗,completed,クレジットカード,0
TX20250105007,MB00010015,P0008,2025-05-15,11:30:00,3,168,504,0,ST005,店舗,completed,現金,0
TX20250105008,MB00010008,P0005,2025-05-18,13:50:00,4,98,392,0,ST005,店舗,completed,電子マネー,0
TX20250105009,MB00010019,P0001,2025-05-20,10:00:00,1,780,780,0,ST004,店舗,completed,クレジットカード,0
TX20250105010,MB00010017,P0015,2025-05-22,15:20:00,1,980,980,100,ST001,店舗,completed,クレジットカード,0
TX20250106001,MB00010002,P0003,2025-06-01,09:30:00,2,298,596,0,ST002,店舗,completed,電子マネー,0
TX20250106002,MB00010009,P0010,2025-06-03,11:00:00,1,498,498,0,ST001,EC,completed,クレジットカード,0
TX20250106003,MB00010001,P0014,2025-06-05,14:20:00,1,2980,2980,500,ST001,店舗,completed,クレジットカード,300
TX20250106004,MB00010012,P0006,2025-06-08,08:15:00,2,128,256,0,ST003,店舗,completed,現金,0
TX20250106005,MB00010018,P0012,2025-06-10,12:45:00,2,298,596,0,ST002,EC,completed,クレジットカード,0
TX20250106006,MB00010003,P0007,2025-06-12,10:30:00,1,498,498,0,ST001,店舗,completed,現金,0
TX20250106007,MB00010014,P0001,2025-06-15,13:00:00,2,780,1560,0,ST005,店舗,completed,電子マネー,0
TX20250106008,MB00010005,P0009,2025-06-18,11:10:00,1,348,348,0,ST004,店舗,completed,クレジットカード,0
TX20250106009,MB00010007,P0013,2025-06-20,15:40:00,1,1480,1480,200,ST001,店舗,completed,現金,0
TX20250106010,MB00010020,P0005,2025-06-22,09:00:00,6,98,588,0,ST004,店舗,completed,電子マネー,0
TX20250107001,MB00010009,P0002,2025-07-01,10:10:00,1,480,480,0,ST001,EC,completed,クレジットカード,0
TX20250107002,MB00010002,P0012,2025-07-03,11:30:00,3,298,894,0,ST002,店舗,completed,電子マネー,0
TX20250107003,MB00010001,P0003,2025-07-05,09:45:00,2,298,596,0,ST001,店舗,completed,クレジットカード,0
TX20250107004,MB00010014,P0004,2025-07-08,08:20:00,3,248,744,0,ST005,店舗,completed,現金,0
TX20250107005,MB00010004,P0013,2025-07-10,14:30:00,1,1480,1480,0,ST003,店舗,completed,クレジットカード,0
TX20250107006,MB00010018,P0008,2025-07-12,10:00:00,2,168,336,0,ST002,EC,completed,クレジットカード,0
TX20250107007,MB00010015,P0011,2025-07-15,12:30:00,1,398,398,0,ST005,店舗,completed,クレジットカード,0
TX20250107008,MB00010008,P0002,2025-07-18,13:50:00,2,480,960,0,ST005,店舗,completed,電子マネー,0
TX20250107009,MB00010006,P0015,2025-07-20,11:15:00,1,980,980,0,ST002,店舗,completed,クレジットカード,0
TX20250107010,MB00010019,P0006,2025-07-22,16:00:00,4,128,512,0,ST004,店舗,completed,現金,0
TX20250108001,MB00010009,P0009,2025-08-01,10:30:00,2,348,696,0,ST001,EC,completed,クレジットカード,0
TX20250108002,MB00010002,P0001,2025-08-03,12:00:00,1,780,780,0,ST002,店舗,completed,電子マネー,0
TX20250108003,MB00010001,P0010,2025-08-05,09:20:00,1,498,498,0,ST001,店舗,completed,クレジットカード,0
TX20250108004,MB00010012,P0013,2025-08-08,14:40:00,1,1480,1480,150,ST003,店舗,completed,クレジットカード,0
TX20250108005,MB00010003,P0005,2025-08-10,10:00:00,5,98,490,0,ST001,店舗,completed,現金,0
TX20250108006,MB00010014,P0006,2025-08-12,08:30:00,3,128,384,0,ST005,店舗,completed,電子マネー,0
TX20250108007,MB00010018,P0014,2025-08-15,15:00:00,1,2980,2980,0,ST002,EC,completed,クレジットカード,500
TX20250108008,MB00010004,P0007,2025-08-18,11:45:00,2,498,996,0,ST003,店舗,completed,現金,0
TX20250108009,MB00010017,P0003,2025-08-20,13:10:00,3,298,894,0,ST001,店舗,completed,クレジットカード,0
TX20250108010,MB00010010,P0004,2025-08-22,09:30:00,1,248,248,0,ST003,店舗,completed,電子マネー,0
TX20250109001,MB00010009,P0015,2025-09-01,10:15:00,1,980,980,0,ST001,EC,completed,クレジットカード,0
TX20250109002,MB00010002,P0006,2025-09-03,11:40:00,4,128,512,0,ST002,店舗,completed,電子マネー,0
TX20250109003,MB00010001,P0002,2025-09-05,09:00:00,1,480,480,0,ST001,店舗,completed,クレジットカード,0
TX20250109004,MB00010014,P0011,2025-09-08,12:20:00,2,398,796,0,ST005,店舗,completed,現金,0
TX20250109005,MB00010012,P0004,2025-09-10,08:50:00,2,248,496,0,ST003,店舗,completed,電子マネー,0
TX20250109006,MB00010015,P0014,2025-09-12,14:00:00,1,2980,2980,300,ST005,店舗,completed,クレジットカード,200
TX20250109007,MB00010008,P0003,2025-09-15,10:30:00,3,298,894,0,ST005,店舗,completed,電子マネー,0
TX20250109008,MB00010019,P0010,2025-09-18,13:45:00,1,498,498,0,ST004,店舗,completed,クレジットカード,0
TX20250109009,MB00010013,P0008,2025-09-20,11:10:00,2,168,336,0,ST004,店舗,completed,現金,0
TX20250109010,MB00010016,P0001,2025-09-22,15:30:00,1,780,780,0,ST003,店舗,completed,クレジットカード,0
TX20250110001,MB00010009,P0005,2025-10-01,09:00:00,6,98,588,0,ST001,EC,completed,クレジットカード,0
TX20250110002,MB00010002,P0014,2025-10-03,14:30:00,1,2980,2980,0,ST002,店舗,completed,クレジットカード,500
TX20250110003,MB00010001,P0007,2025-10-05,10:45:00,1,498,498,0,ST001,店舗,completed,クレジットカード,0
TX20250110004,MB00010004,P0012,2025-10-08,12:00:00,2,298,596,0,ST003,店舗,completed,現金,0
TX20250110005,MB00010018,P0003,2025-10-10,08:20:00,4,298,1192,100,ST002,EC,completed,クレジットカード,0
TX20250110006,MB00010014,P0005,2025-10-12,11:30:00,3,98,294,0,ST005,店舗,completed,電子マネー,0
TX20250110007,MB00010012,P0002,2025-10-15,13:15:00,2,480,960,0,ST003,店舗,completed,現金,0
TX20250110008,MB00010003,P0009,2025-10-18,10:00:00,1,348,348,0,ST001,店舗,completed,クレジットカード,0
TX20250110009,MB00010005,P0006,2025-10-20,15:40:00,2,128,256,0,ST004,店舗,completed,現金,0
TX20250110010,MB00010007,P0001,2025-10-22,11:20:00,1,780,780,0,ST001,店舗,completed,現金,0
TX20250111001,MB00010009,P0013,2025-11-01,10:00:00,1,1480,1480,0,ST001,EC,completed,クレジットカード,300
TX20250111002,MB00010002,P0008,2025-11-03,09:30:00,3,168,504,0,ST002,店舗,completed,電子マネー,0
TX20250111003,MB00010001,P0011,2025-11-05,12:30:00,2,398,796,0,ST001,店舗,completed,クレジットカード,0
TX20250111004,MB00010018,P0009,2025-11-08,14:00:00,1,348,348,0,ST002,EC,completed,クレジットカード,0
TX20250111005,MB00010014,P0002,2025-11-10,10:20:00,1,480,480,0,ST005,店舗,completed,現金,0
TX20250111006,MB00010012,P0015,2025-11-12,11:45:00,1,980,980,0,ST003,店舗,completed,クレジットカード,100
TX20250111007,MB00010004,P0005,2025-11-15,08:00:00,4,98,392,0,ST003,店舗,completed,電子マネー,0
TX20250111008,MB00010010,P0007,2025-11-18,13:30:00,1,498,498,0,ST003,店舗,completed,クレジットカード,0
TX20250111009,MB00010016,P0003,2025-11-20,10:10:00,2,298,596,0,ST003,店舗,completed,現金,0
TX20250111010,MB00010020,P0001,2025-11-22,15:00:00,2,780,1560,0,ST004,店舗,completed,クレジットカード,0
TX20250112001,MB00010009,P0004,2025-12-01,09:15:00,3,248,744,0,ST001,EC,completed,クレジットカード,0
TX20250112002,MB00010002,P0010,2025-12-03,11:00:00,1,498,498,0,ST002,店舗,completed,電子マネー,0
TX20250112003,MB00010001,P0013,2025-12-05,14:20:00,1,1480,1480,200,ST001,店舗,completed,クレジットカード,0
TX20250112004,MB00010014,P0007,2025-12-08,10:30:00,2,498,996,0,ST005,店舗,completed,現金,0
TX20250112005,MB00010003,P0001,2025-12-10,12:45:00,1,780,780,0,ST001,店舗,completed,クレジットカード,0
TX20250112006,MB00010018,P0006,2025-12-12,08:30:00,5,128,640,0,ST002,EC,completed,クレジットカード,0
TX20250112007,MB00010015,P0012,2025-12-15,13:00:00,2,298,596,0,ST005,店舗,completed,クレジットカード,0
TX20250112008,MB00010008,P0014,2025-12-18,15:30:00,1,2980,2980,0,ST005,店舗,completed,電子マネー,0
TX20250112009,MB00010012,P0003,2025-12-20,10:45:00,3,298,894,0,ST003,店舗,completed,現金,0
